Name,Team,Pos,Height,Weight,BMI,Birth_Place,Birthdate,Age,College,Experience,Games Played,MIN,OREB,DREB,REB,AST,STL,BLK,TO,PTS,DD2,TD3
Aerial Powers,DAL,F,183,71,21.20099137,US,"January 17, 1994",23,Michigan State,2,8,173,6,22,28,12,3,6,12,93,0,0
Alana Beard,LA,G/F,185,73,21.32943755,US,"May 14, 1982",35,Duke,12,30,947,19,82,101,72,63,13,40,217,0,0
Alex Bentley,CON,G,170,69,23.87543253,US,"October 27, 1990",26,Penn State,4,26,617,4,36,40,78,22,3,24,218,0,0
Alex Montgomery,SAN,G/F,185,84,24.54346238,US,"December 11, 1988",28,Georgia Tech,6,31,721,35,134,169,65,20,10,38,188,2,0
Alexis Jones,MIN,G,175,78,25.46938776,US,"August 5, 1994",23,Baylor,R,24,137,3,9,12,12,7,0,14,50,0,0
Alexis Peterson,SEA,G,170,63,21.79930796,US,"June 20, 1995",22,Syracuse,R,14,90,3,13,16,11,5,0,11,26,0,0
Alexis Prince,PHO,G,188,81,22.91760978,US,"February 5, 1994",23,Baylor,R,16,112,1,14,15,5,4,3,3,24,0,0
Allie Quigley,CHI,G,178,64,20.19946976,US,"June 20, 1986",31,DePaul,8,26,847,9,83,92,95,20,13,59,442,0,0
Allisha Gray,DAL,G,185,76,22.20598977,US,"October 20, 1992",24,South Carolina,2,30,834,52,75,127,40,47,19,37,395,0,0
Allison Hightower,WAS,G,178,77,24.30248706,US,"June 4, 1988",29,LSU,5,7,103,3,7,10,10,5,0,2,36,0,0
Alysha Clark,SEA,F,180,76,23.45679012,US,"July 7, 1987",30,Middle Tennessee,6,30,843,29,97,126,50,22,4,32,244,0,0
Alyssa Thomas,CON,F,188,84,23.76641014,US,"December 4, 1992",24,Maryland,3,28,833,34,158,192,136,48,11,87,399,4,0
Amanda Zahui B.,NY,C,196,113,29.41482716,SE,"August 9, 1993",24,Minnesota,3,25,133,5,18,23,7,4,5,12,51,0,0
Amber Harris,CHI,F,196,88,22.90712203,US,"January 16, 1988",29,Xavier,3,22,146,12,28,40,5,3,9,6,41,0,0
Aneika Henry,ATL,F/C,193,87,23.35633171,JM,"February 13, 1986",31,Florida,6,4,22,0,4,4,1,2,0,3,8,0,0
Angel Robinson,PHO,F/C,198,88,22.44668911,US,"August 30, 1995",21,Arizona State,1,15,237,16,42,58,8,1,11,16,58,0,0
Asia Taylor,WAS,F,185,76,22.20598977,US,"August 22, 1991",26,Louisville,3,20,128,16,21,37,9,5,2,10,31,0,0
Bashaara Graves,CHI,F,188,91,25.74694432,US,"March 17, 1994",23,Tennessee,1,5,59,4,13,17,3,0,1,3,19,0,0
Breanna Lewis,DAL,C,196,93,24.20866306,US,"June 22, 1994",23,Kansas State,R,12,50,2,7,9,2,0,0,7,7,0,0
Breanna Stewart,SEA,F/C,193,77,20.67169588,US,"August 27, 1994",22,Connecticut,2,29,952,43,206,249,78,29,47,68,584,8,0
Bria Hartley,NY,G,173,66,22.05219018,US,"September 30, 1992",24,Connecticut,4,29,598,7,50,57,58,15,5,44,217,0,0
Bria Holmes,ATL,G,185,77,22.49817385,US,"April 19, 1994",23,West Virginia,R,28,655,29,56,85,52,23,7,31,235,0,0
Briann January,IND,G,173,65,21.71806609,US,"November 1, 1987",29,Arizona State,9,25,657,12,25,37,98,23,4,53,238,0,0
Brionna Jones,CON,F,191,104,28.50799046,US,"December 18, 1995",21,Maryland,R,19,112,11,14,25,2,7,1,7,44,0,0
Brittany Boyd,NY,G,175,71,23.18367347,US,"November 6, 1993",23,UC Berkeley,3,2,32,3,5,8,5,3,0,2,26,0,0
Brittney Griner,PHO,C,206,93,21.91535489,US,"October 18, 1990",26,Baylor,5,22,682,43,129,172,39,13,54,52,461,6,0
Brittney Sykes,ATL,G,175,66,21.55102041,US,"July 2, 1994",23,Rutgers,10,30,734,25,94,119,59,18,17,49,397,1,0
Camille Little,PHO,F,188,82,23.20054323,US,"January 18, 1985",32,North Carolina,11,30,759,42,71,113,42,28,13,50,228,0,0
Candace Parker,LA,F/C,193,79,21.20862305,US,"April 19, 1986",31,Tennessee,10,29,889,37,205,242,127,43,53,80,494,10,1
Candice Dupree,IND,F,188,81,22.91760978,US,"February 25, 1984",33,Temple,12,29,911,31,124,155,47,28,12,42,435,2,0
Cappie Pondexter,CHI,G,175,73,23.83673469,US,"July 1, 1983",34,Rutgers,11,24,676,10,59,69,104,17,5,56,250,2,0
Carolyn Swords,SEA,C,198,95,24.2322212,US,"July 19, 1989",28,Boston College,6,26,218,10,29,39,9,5,4,22,54,0,0
Cayla George,PHO,C,193,87,23.35633171,AU,"April 20, 1987",30,Georgia,1,28,365,10,71,81,15,9,11,13,100,1,0
Chelsea Gray,LA,G,180,77,23.7654321,US,"August 10, 1992",25,Duke,3,30,996,19,80,99,132,29,7,61,456,1,0
Cheyenne Parker,CHI,F,193,86,23.08786813,US,"August 22, 1992",25,Middle Tennessee,2,23,286,31,47,78,13,8,15,21,87,0,0
Clarissa dos Santos,SAN,C,185,89,26.00438276,BR,"October 3, 1988",28,Brazil,4,7,52,3,7,10,7,1,1,5,17,0,0
Courtney Paris,DAL,C,193,113,30.33638487,US,"September 21, 1987",29,Oklahoma,7,16,217,28,34,62,5,6,8,18,70,0,0
Courtney Vandersloot,CHI,G,173,66,22.05219018,US,"August 2, 1989",28,Gonzaga,6,22,673,13,75,88,175,22,5,64,255,10,0
Courtney Williams,CON,G,173,62,20.71569381,US,"November 5, 1994",22,South Florida,1,29,755,38,84,122,60,15,6,39,375,1,0
Crystal Langhorne,SEA,F/C,188,84,23.76641014,US,"October 27, 1986",30,Maryland,10,30,848,35,140,175,46,16,11,50,370,2,0
Damiris Dantas,ATL,C,191,89,24.39626107,BR,"November 17, 1992",24,Brazil,4,30,569,29,84,113,19,17,18,26,254,0,0
Danielle Adams,CON,F/C,185,108,31.5558802,US,"February 19, 1989",28,Texas A&M,5,18,81,6,4,10,4,4,4,7,49,0,0
Danielle Robinson,PHO,G,175,57,18.6122449,US,"October 5, 1989",27,Oklahoma,7,28,680,13,73,86,106,33,4,58,209,0,0
Dearica Hamby,SAN,F,191,86,23.57391519,US,"June 11, 1993",24,Wake Forest,2,31,650,48,91,139,32,29,8,43,253,1,0
Devereaux Peters,IND,F,188,79,22.35174287,US,"August 10, 1989",28,Notre Dame,6,28,796,8,69,77,76,16,9,56,514,0,0
Diana Taurasi,PHO,G,183,74,22.09680791,US,"November 6, 1982",34,Connecticut,13,20,591,31,98,129,32,20,31,28,376,3,0
Elena Delle Donne,WAS,G/F,196,85,22.12619742,US,"May 9, 1989",28,Delaware,5,30,939,99,116,215,43,32,64,36,317,4,0
Elizabeth Williams,ATL,F/C,191,87,23.84803048,US,"June 23, 1993",24,Duke,3,30,377,35,61,96,5,5,4,21,128,0,0
Emma Cannon,PHO,F,188,86,24.33227705,US,"January 6, 1989",28,Central Florida,R,18,508,33,72,105,52,21,27,30,252,1,0
Emma Meesseman,WAS,C,193,83,22.28247738,BE,"May 13, 1993",24,Belgium,5,23,617,23,58,81,70,34,5,30,259,0,0
Epiphanny Prince,NY,G,175,81,26.44897959,US,"November 1, 1988",28,Rutgers,8,26,282,17,44,61,5,4,8,17,88,0,0
Erica Wheeler,IND,G,170,65,22.49134948,US,"February 5, 1991",26,Rutgers,3,30,767,11,57,68,117,38,1,68,336,0,0
Érika de Souza,SAN,C,196,86,22.38650562,BR,"September 3, 1982",34,Brazil,13,30,579,58,74,132,35,18,7,37,159,0,0
Erlana Larkins,IND,F,185,93,27.17311907,US,"February 4, 1986",31,North Carolina,9,20,386,9,26,35,24,11,8,13,102,0,0
Essence Carson,LA,G/F,183,74,22.09680791,US,"July 28, 1986",31,Rutgers,10,15,61,7,2,9,0,1,3,5,13,0,0
Evelyn Akhator,DAL,F,191,82,22.47745402,NG,"March 2, 1995",22,Kentucky,R,30,926,73,199,272,50,37,13,67,442,13,0
Glory Johnson,DAL,F,191,77,21.10687755,US,"July 27, 1990",27,Tennessee,4,4,42,0,3,3,1,0,0,4,9,0,0
Imani Boyette,ATL,C,201,88,21.78163907,US,"November 10, 1992",24,Texas,1,29,410,43,75,118,14,9,23,22,127,1,0
Isabelle Harrison,SAN,C,191,83,22.75156931,US,"September 27, 1993",23,Kentucky,3,31,832,66,134,200,46,26,24,63,364,5,0
Ivory Latta,WAS,G,168,63,22.32142857,US,"September 25, 1984",32,North Carolina,12,29,499,7,20,27,49,12,1,22,245,0,0
Jantel Lavender,LA,C,193,84,22.55094096,US,"December 11, 1988",28,Ohio State,7,28,481,31,56,87,28,8,5,35,200,0,0
Jasmine Thomas,CON,G,175,66,21.55102041,US,"September 30, 1989",27,Duke,6,27,762,9,55,64,118,45,4,58,391,1,0
Jazmon Gwathmey,IND,G,188,65,18.39067451,PR,"January 24, 1993",24,James Madison,2,24,371,15,34,49,17,13,19,32,142,0,0
Jeanette Pohlen,IND,G,183,78,23.29122996,US,"February 5, 1989",28,Stanford,6,25,278,3,19,22,13,5,0,15,70,0,0
Jennifer Hamson,IND,C,201,95,23.51426945,US,"January 23, 1992",25,Brigham Young,1,10,50,5,6,11,6,2,2,3,12,0,0
Jessica Breland,CHI,F,191,77,21.10687755,US,"February 23, 1988",29,North Carolina,5,10,78,5,13,18,2,1,9,3,22,0,0
Jewell Loyd,SEA,G,178,67,21.14631991,US,"May 10, 1993",24,Notre Dame,3,29,715,50,139,189,46,18,50,57,268,4,0
Jia Perkins,MIN,G,173,75,25.05930703,US,"February 23, 1982",35,Texas Tech,14,30,932,24,72,96,103,41,11,83,517,0,0
Jonquel Jones,CON,F/C,198,86,21.93653709,BS,"May 1, 1994",23,George Washington,1,29,463,11,46,57,39,30,1,24,116,0,0
Jordan Hooper,CHI,F,188,84,23.76641014,US,"February 20, 1992",25,Nebraska,3,29,833,108,226,334,40,29,46,46,467,17,0
Kaela Davis,DAL,G,188,77,21.78587596,US,"March 15, 1995",22,South Carolina,R,23,208,2,20,22,5,7,1,6,77,0,0
Kahleah Copper,CHI,G/F,185,70,20.45288532,US,"August 28, 1994",22,Rutgers,1,29,475,10,33,43,32,13,3,48,185,0,0
Kaleena Mosqueda-Lewis,SEA,F,180,82,25.30864198,US,"March 11, 1993",24,Connecticut,3,29,369,11,43,54,11,9,2,22,161,0,0
Karima Christmas-Kelly,DAL,G/F,183,82,24.48565201,US,"November 9, 1989",27,Duke,6,14,142,4,10,14,6,1,1,13,65,0,0
Kayla Alexander,SAN,C,193,88,23.6247953,CA,"May 1, 1991",26,Arizona State,4,30,889,45,75,120,65,39,5,50,318,0,0
Kayla McBride,SAN,G/F,180,79,24.38271605,US,"June 25, 1992",25,Notre Dame,3,31,433,40,47,87,17,13,15,30,171,0,0
Kayla Pedersen,CON,F,193,86,23.08786813,US,"April 14, 1989",28,Stanford,5,27,882,12,93,105,59,32,5,54,411,0,0
Kayla Thornton,DAL,F,185,86,25.12783053,US,"October 20, 1992",24,Texas–El Paso,2,21,224,19,26,45,13,6,2,9,32,0,0
Keisha Hampton,CHI,F,185,78,22.79035793,US,"February 22, 1990",27,DePaul,1,30,504,36,59,95,24,20,7,21,207,0,0
Kelsey Plum,SAN,G,173,66,22.05219018,US,"August 24, 1994",23,Washington,R,28,610,11,42,53,91,13,4,72,225,0,0
Kia Vaughn,NY,C,193,90,24.16172246,US,"January 24, 1987",30,Rutgers,9,23,455,39,71,110,16,8,9,21,134,1,0
Kiah Stokes,NY,C,191,87,23.84803048,US,"March 30, 1993",24,Connecticut,3,29,576,63,122,185,21,8,32,33,141,3,0
Kristi Toliver,WAS,G,170,59,20.41522491,US,"January 27, 1987",30,Maryland,9,29,845,9,50,59,91,20,8,48,349,0,0
Krystal Thomas,WAS,C,196,88,22.90712203,US,"October 6, 1989",27,Duke,6,29,737,97,172,269,30,15,31,45,199,2,0
Lanay Montgomery,SEA,C,196,96,24.98958767,US,"September 17, 1993",23,West Virginia,R,7,28,0,5,5,0,1,4,2,6,0,0
Layshia Clarendon,ATL,G,175,64,20.89795918,US,"February 5, 1991",26,UC Berkeley,5,30,900,27,88,115,206,29,1,82,329,3,0
Leilani Mitchell,PHO,G,165,58,21.30394858,US,"June 15, 1985",32,Utah,9,30,623,12,57,69,108,26,9,50,233,0,0
Lindsay Allen,NY,G,173,65,21.71806609,US,"March 20, 1995",22,Notre Dame,R,23,314,8,28,36,47,13,1,18,48,0,0
Lindsay Whalen,MIN,G,175,78,25.46938776,US,"September 5, 1982",34,Minnesota,14,22,520,8,46,54,90,11,2,44,177,0,0
Lynetta Kizer,CON,C,193,104,27.92021262,US,"April 4, 1990",27,Maryland,5,20,238,22,35,57,6,11,7,10,119,0,0
Maimouna Diarra,LA,C,198,90,22.95684114,SN,"January 30, 1991",26,Sengal,R,9,16,3,4,7,1,1,0,3,3,0,0
Makayla Epps,CHI,G,178,,,US,"June 6, 1995",22,Kentucky,R,14,52,2,0,2,4,1,0,4,6,0,0
Marissa Coleman,IND,G/F,185,73,21.32943755,US,"April 1, 1987",30,Maryland,9,30,539,7,53,60,25,8,4,34,154,0,0
Matee Ajavon,ATL,G,173,73,24.39105884,US,"July 5, 1986",31,Syracruse,R,27,218,8,26,34,27,10,0,26,73,0,0
Maya Moore,MIN,F,183,80,23.88844098,US,"November 6, 1989",27,Connecticut,7,29,904,50,106,156,99,53,13,56,490,3,0
Monique Currie,PHO,G/F,183,80,23.88844098,US,"February 25, 1983",34,Duke,11,32,717,19,103,122,67,22,11,48,364,0,0
Morgan Tuck,CON,F,188,91,25.74694432,US,"April 30, 1994",23,Connecticut,1,17,294,9,34,43,19,7,0,15,91,1,0
Moriah Jefferson,SAN,G,168,55,19.48696145,US,"August 3, 1994",23,Connecticut,1,21,514,6,31,37,92,33,2,43,191,0,0
Natalie Achonwa,IND,C,193,83,22.28247738,CA,"November 22, 1992",24,Notre Dame,3,30,529,31,70,101,21,11,16,25,207,0,0
Natasha Cloud,WAS,G,183,73,21.79820239,US,"February 22, 1992",25,Saint Joseph's,3,24,448,7,52,59,69,17,3,23,106,0,0
Natasha Howard,MIN,F,188,75,21.22000905,US,"February 9, 1991",26,Florida State,4,29,315,25,38,63,16,11,19,20,116,0,0
Nayo Raincock-Ekunwe,NY,F/C,188,79,22.35174287,CA,"August 29, 1991",25,Simon Fraser,R,27,243,24,22,46,8,2,1,13,96,0,0
Nia Coffey,SAN,F,185,77,22.49817385,US,"May 21, 1995",22,Northwestern,R,25,203,16,30,46,6,5,6,14,48,0,0
Nneka Ogwumike,LA,F,188,79,22.35174287,US,"February 7, 1990",27,Stanford,6,30,948,57,179,236,63,53,14,47,577,9,0
Noelle Quinn,SEA,G,183,81,24.18704649,US,"March 1, 1985",32,UCLA,11,29,459,1,48,49,78,12,5,27,79,0,0
Odyssey Sims,LA,G,173,73,24.39105884,US,"July 13, 1992",25,Baylor,4,27,626,10,34,44,87,38,5,39,230,1,0
Plenette Pierson,MIN,F/C,188,88,24.89814396,US,"August 31, 1981",35,Texas Tech,15,29,402,13,49,62,48,12,4,33,140,0,0
Rachel Banham,CON,G,175,76,24.81632653,US,"July 15, 1993",24,Minnesota,2,26,238,2,27,29,20,4,0,12,96,0,0
Ramu Tokashiki,SEA,F,193,80,21.47708663,JP,"November 6, 1991",25,Japan,1,29,378,19,29,48,16,8,8,25,106,0,0
Rebecca Allen,NY,G/F,188,74,20.9370756,AU,"June 11, 1992",25,Australia,3,28,254,13,51,64,15,9,12,17,78,0,0
Rebekkah Brunson,MIN,F,188,84,23.76641014,US,"November 12, 1981",35,Georgetown,14,26,719,46,135,181,40,31,9,42,278,2,0
Renee Montgomery,MIN,G,170,63,21.79930796,US,"February 12, 1986",31,Connecticut,9,29,614,12,34,46,96,24,1,43,216,0,0
Riquna Williams,LA,G,170,75,25.95155709,US,"May 28, 1990",27,Miami (FL),5,23,408,6,26,32,16,19,3,26,148,0,0
Sami Whitcomb,SEA,G,178,66,20.83070319,US,"July 20, 1988",29,Washington,R,29,354,12,40,52,24,22,0,24,139,0,0
Sancho Lyttle,ATL,F,193,79,21.20862305,ES,"September 20, 1983",33,Houston,13,25,703,42,138,180,41,40,17,34,156,0,0
Sandrine Gruda,LA,F/C,193,84,22.55094096,FR,"June 25, 1987",30,France,5,4,12,0,2,2,0,0,0,2,2,0,0
Saniya Chong,DAL,G,173,64,21.383942,US,"June 27, 1994",23,Connecticut,R,29,348,9,19,28,33,21,3,23,87,0,0
Seimone Augustus,MIN,G/F,183,77,22.99262444,US,"April 30, 1984",33,LSU,12,27,756,12,70,82,108,17,1,39,298,1,0
Sequoia Holmes,SAN,G,185,70,20.45288532,US,"June 13, 1986",31,UNLV,2,24,280,12,12,24,23,13,5,11,81,0,0
Shatori Walker-Kimbrough,WAS,G,180,64,19.75308642,US,"May 18, 1995",22,Maryland,R,22,260,4,13,17,10,11,1,12,96,0,0
Shavonte Zellous,NY,G,178,85,26.82742078,US,"August 28, 1986",30,Pittsburgh,9,29,865,30,92,122,87,23,8,62,346,1,0
Shay Murphy,SAN,G,180,74,22.83950617,US,"April 15, 1985",32,Southern California,9,23,242,12,26,38,17,10,1,12,66,0,0
Shekinna Stricklen,CON,G/F,188,81,22.91760978,US,"July 30, 1990",27,Tennessee,5,29,795,15,71,86,30,36,2,23,245,0,0
Shenise Johnson,IND,G,180,78,24.07407407,US,"September 12, 1990",26,Miami (FL),6,14,348,13,35,48,35,21,4,18,158,0,0
Skylar Diggins-Smith,DAL,G,175,66,21.55102041,US,"February 8, 1990",27,Notre Dame,4,30,1018,21,86,107,173,38,24,83,545,1,0
Stefanie Dolson,CHI,C,196,97,25.24989588,US,"August 1, 1992",25,Connecticut,3,28,823,35,121,156,65,14,37,65,398,3,0
Stephanie Talbot,PHO,G,185,87,25.42001461,AU,"December 20, 1990",26,Australia,R,30,555,28,58,86,50,22,8,28,138,0,0
Sue Bird,SEA,G,175,68,22.20408163,US,"October 16, 1980",36,Connecticut,15,27,806,7,46,53,177,31,3,57,273,1,0
Sugar Rodgers,NY,G,175,75,24.48979592,US,"August 12, 1989",28,Georgetown,6,28,745,21,85,106,68,28,17,43,317,0,0
Sydney Colson,SAN,G,173,64,21.383942,US,"June 8, 1989",28,Texas A&M,3,25,296,3,11,14,51,13,2,25,72,0,0
Sydney Wiese,LA,G,183,68,20.30517483,US,"July 13, 1992",25,Oregon State,R,25,189,3,18,21,6,4,3,2,55,0,0
Sylvia Fowles,MIN,C,198,96,24.48729721,US,"June 10, 1985",32,LSU,10,29,895,113,184,297,39,39,61,71,572,16,0
Tamera Young,ATL,G/F,188,77,21.78587596,US,"October 30, 1986",30,Tennessee,9,31,820,23,87,110,66,36,14,61,277,0,0
Tayler Hill,WAS,G,175,66,21.55102041,US,"October 23, 1990",26,Ohio State,5,18,462,5,29,34,47,16,1,26,240,0,0
Temi Fagbenle,MIN,C,193,89,23.89325888,UK,"August 9, 1992",25,Southern California,R,17,74,3,13,16,1,3,3,8,17,0,0
Theresa Plaisance,DAL,F,196,91,23.68804665,US,"May 18, 1992",25,LSU,4,30,604,38,89,127,24,23,22,24,217,1,0
Tianna Hawkins,WAS,F,191,87,23.84803048,US,"February 3, 1991",26,Maryland,4,29,483,42,82,124,9,15,7,23,210,0,0
Tierra Ruffin-Pratt,WAS,G,178,83,26.19618735,US,"November 4, 1991",25,North Carolina,5,29,703,45,120,165,68,30,16,47,225,2,0
Tiffany Hayes,ATL,G,178,70,22.09317005,US,"September 20, 1989",27,Connecticut,6,29,861,28,89,117,69,37,8,50,467,0,0
Tiffany Jackson,LA,F,191,84,23.0256846,US,"April 26, 1985",32,Texas,9,22,127,5,18,23,3,1,3,8,28,0,0
Tiffany Mitchell,IND,G,175,69,22.53061224,US,"September 23, 1984",32,South Carolina,2,27,671,16,70,86,39,31,5,40,277,0,0
Tina Charles,NY,F/C,193,84,22.55094096,US,"May 12, 1988",29,Connecticut,8,29,952,56,212,268,75,21,22,71,582,11,0
Yvonne Turner,PHO,G,175,59,19.26530612,US,"October 13, 1987",29,Nebraska,2,30,356,11,13,24,30,18,1,32,151,0,0
